Type,Characteristics,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Habitats,Water,Wetland Status,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
FERNS,,,Athyrium filix-femina,Lady Fern,,,,,,,,,,,,
FERNS,,,Dryopteris marginalis,Marginal woodland fern,1 to 2,Spread,Bloom color,,Part shade or full shade,"Found in rocky woods, rich woodlands, woodland edges, ravines, or bluffs",,Facultative upland,,,,
FERNS,,,Matteuccia struthiopteris,Ostrich Fern,3 to 4,Spread,,,,,,Facultative,,,,
FERNS,,,Osmunda cinnamomea,Cinnamon fern,,Aerial Spread,,,,,,,,,,
FERNS,,,Osmunda regalis,Royal Fern,,Spread,,,,,,Obligate,,,,
FERNS,,,Polystichum acrostichoides,Christmas Fern,1-2,,,,,,,,,,,
