Type,Characteristics,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Habitats,Water,Wetland Status,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
TREES,,,Amelanchier canadensis,Serviceberry,35 to 50,Aerial Spread,Flower Color,Flowering Period,,,,Facultative wetland,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Amelanchier+canadensis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=amelanchier-canadensis
TREES,,,Asimina triloba,Common Pawpaw,,Aerial Spread,Flower Color,Flowering Period,,,,Facultative wetland,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Asimina+triloba,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=asimina-triloba
TREES,,,Betula nigra,River birch,50 to 75,Aerial Spread,Flower Color,Flowering Period,,,,Facultative wetland,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Betula+nigra,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=betula-nigra
TREES,,,Cercis canadensis,Eastern redbud,,,Flower Color,Flowering Period,,,,Facultative wetland,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cercis+canadensis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cercis-canadensis
TREES,,,Cornus florida,Flowering dogwood,,,Flower Color,Flowering Period,,,,Facultative wetland,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cornus+florida,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cornus-florida
TREES,,,Magnolia virginiana,Sweetbay magnolia,12 to 20,Aerial Spread,Flower Color,Flowering Period,,,,Facultative wetland,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Magnolia+virginiana,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=magnolia-virginiana
