Type,Characteristics,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Habitats,Water,Wetland Status,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
FERNS,,,Athyrium filix-femina,Lady Fern,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Athyrium+filix-femina,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=athyrium-filix-femina
FERNS,,,Dryopteris marginalis,Marginal woodland fern,1 to 2,Spread,Bloom color,,Part shade or full shade,"Found in rocky woods, rich woodlands, woodland edges, ravines, or bluffs",,Facultative upland,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Dryopteris+marginalis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=dryopteris-marginalis
FERNS,,,Matteuccia struthiopteris,Ostrich Fern,3 to 4,Spread,,,,,,Facultative,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Matteuccia+struthiopteris,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=matteuccia-struthiopteris
FERNS,,,Osmunda cinnamomea,Cinnamon fern,,Aerial Spread,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Osmunda+cinnamomea,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=osmunda-cinnamomea
FERNS,,,Osmunda regalis,Royal Fern,,Spread,,,,,,Obligate,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Osmunda+regalis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=osmunda-regalis
FERNS,,,Polystichum acrostichoides,Christmas Fern,1-2,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Polystichum+acrostichoides,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=polystichum-acrostichoides
